id,fact,karatepower,created_at
1,Chuck Norris can compile syntax errors.,135,2017-07-20 16:34:05
2,The programs that Chuck Norris writes don't have version numbers because he only writes them once. If a user reports a bug or has a feature request they don't live to see the sun set.,788,2017-03-16 7:39:33
3,Chuck Norris doesn't believe in floating point numbers because they can't be typed on his binary keyboard.,605,2017-12-12 23:09:18
4,Chuck Norris burst the dot com bubble.,976,2018-08-03 3:41:48
5,Chuck Norris can recite Ï€. Backwards.,529,2018-10-02 4:51:50
6,Anonymous methods and anonymous types are really all called Chuck Norris. They just don't like to boast.,364,2018-06-18 4:23:05
7,"For Chuck Norris, NP-Hard = O(1).",686,2017-08-22 17:23:05
8,Chuck Norris can binary search unsorted data.,801,2019-02-03 5:53:14
9,Anonymous methods and anonymous types are really all called Chuck Norris. They just don't like to boast.,771,2018-12-13 6:14:20
10,Chuck Norris's keyboard doesn't have a Ctrl key because nothing controls Chuck Norris.,249,2017-05-23 0:18:50
11,"Chuck Norris can read all encrypted data, because nothing can hide from Chuck Norris.",762,2018-08-24 12:41:34
12,"Chuck Norris can read all encrypted data, because nothing can hide from Chuck Norris.",614,2018-03-16 17:17:29
13,Chuck Norris can spawn threads that complete before they are started.,545,2017-09-08 22:34:18
14,"Chuck Norris' protocol design method has no status, requests or responses, only commands.",67,2018-03-04 17:16:08
15,Chuck Norris can divide by zero.,104,2018-10-24 5:57:55
16,Chuck Norris can write multi-threaded applications with a single thread.,591,2017-03-26 6:13:21
17,"When Chuck Norris points to null, null quakes in fear.",537,2018-08-25 10:49:42
18,"All arrays Chuck Norris declares are of infinite size, because Chuck Norris knows no bounds.",781,2018-04-21 15:15:47
19,Chuck Norris doesn't believe in floating point numbers because they can't be typed on his binary keyboard.,84,2017-03-29 2:03:37
20,Chuck Norris can access the DB from the UI.,434,2018-07-14 3:58:10
21,"You don't disable the Chuck Norris plug-in, it disables you.",452,2018-04-18 11:33:11
22,"When a bug sees Chuck Norris, it flees screaming in terror, and then immediately self-destructs to avoid being roundhouse-kicked.",582,2017-09-07 13:31:03
23,Chuck Norris doesn't need an OS.,508,2017-03-06 7:58:35
24,Chuck Norris doesn't have performance bottlenecks. He just makes the universe wait its turn.,670,2018-07-05 21:44:35
25,Chuck Norris doesn't believe in floating point numbers because they can't be typed on his binary keyboard.,960,2017-11-23 16:11:06
26,Chuck Norris doesn't program with a keyboard. He stares the computer down until it does what he wants.,460,2018-03-21 12:20:04
27,Chuck Norris doesn't need an OS.,89,2017-07-18 6:55:45
28,"When Chuck Norris points to null, null quakes in fear.",787,2017-05-21 4:55:04
29,The programs that Chuck Norris writes don't have version numbers because he only writes them once. If a user reports a bug or has a feature request they don't live to see the sun set.,432,2017-09-07 13:51:22
30,"When Chuck Norris presses Ctrl+Alt+Delete, worldwide computer restart is initiated.",871,2019-01-08 7:56:38
31,"Chuck Norris can read all encrypted data, because nothing can hide from Chuck Norris.",323,2019-02-05 2:44:18
32,Chuck Norris solved the Travelling Salesman problem in O(1) time.,101,2018-09-17 16:24:00
33,Chuck Norris burst the dot com bubble.,536,2018-01-03 14:19:13
